file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt,source_file
OLKF/FN.OLKF..BHE__20250112T164734Z__20250112T164834Z.mseed,FN,OLKF,0,0,0,0,2025-01-12 16:47:38.310000,0.693,,,2025-01-12 16:47:34.000000,2025-01-12 16:48:34.000000,eqcct_explosions_th0_1/20250112T164734Z_20250112T164834Z/OLKF_outputs/X_prediction_results.csv
KU2/HE.KU2..SHN__20250112T164739Z__20250112T164839Z.mseed,HE,KU2,0,0,0,0,2025-01-12 16:47:43.100000,0.457,,,2025-01-12 16:47:39.000000,2025-01-12 16:48:39.000000,eqcct_explosions_th0_1/20250112T164739Z_20250112T164839Z/KU2_outputs/X_prediction_results.csv
TOF/HE.TOF..HHE__20250112T164754Z__20250112T164854Z.mseed,HE,TOF,0,0,0,0,2025-01-12 16:47:58.550000,0.138,,,2025-01-12 16:47:54.000000,2025-01-12 16:48:54.000000,eqcct_explosions_th0_1/20250112T164754Z_20250112T164854Z/TOF_outputs/X_prediction_results.csv
KU6/HE.KU6..HHN__20250112T164814Z__20250112T164914Z.mseed,HE,KU6,0,0,0,0,2025-01-12 16:48:18.210000,0.184,,,2025-01-12 16:48:14.000000,2025-01-12 16:49:14.000000,eqcct_explosions_th0_1/20250112T164814Z_20250112T164914Z/KU6_outputs/X_prediction_results.csv
VRF/HE.VRF..HHE__20250112T200504Z__20250112T200604Z.mseed,HE,VRF,0,0,0,0,2025-01-12 20:05:09.180000,0.788,2025-01-12 20:05:30.130000,0.429,2025-01-12 20:05:04.000000,2025-01-12 20:06:04.000000,eqcct_explosions_th0_1/20250112T200504Z_20250112T200604Z/VRF_outputs/X_prediction_results.csv
RAJF/FN.RAJF..BHZ__20250112T200513Z__20250112T200613Z.mseed,FN,RAJF,0,0,0,0,2025-01-12 20:05:17.080000,0.164,,,2025-01-12 20:05:13.000000,2025-01-12 20:06:13.000000,eqcct_explosions_th0_1/20250112T200513Z_20250112T200613Z/RAJF_outputs/X_prediction_results.csv
KU6/HE.KU6..HHE__20250112T200514Z__20250112T200614Z.mseed,HE,KU6,0,0,0,0,2025-01-12 20:05:18.560000,0.827,2025-01-12 20:05:49.030000,0.514,2025-01-12 20:05:14.000000,2025-01-12 20:06:14.000000,eqcct_explosions_th0_1/20250112T200514Z_20250112T200614Z/KU6_outputs/X_prediction_results.csv
OLKF/FN.OLKF..BHE__20250112T200514Z__20250112T200614Z.mseed,FN,OLKF,0,0,0,0,2025-01-12 20:05:18.250000,0.796,2025-01-12 20:05:47.480000,0.402,2025-01-12 20:05:14.000000,2025-01-12 20:06:14.000000,eqcct_explosions_th0_1/20250112T200514Z_20250112T200614Z/OLKF_outputs/X_prediction_results.csv
KEV/HE.KEV..HHZ__20250112T200527Z__20250112T200627Z.mseed,HE,KEV,0,0,0,0,2025-01-12 20:05:32.700000,0.768,2025-01-12 20:06:10.990000,0.132,2025-01-12 20:05:27.000000,2025-01-12 20:06:27.000000,eqcct_explosions_th0_1/20250112T200527Z_20250112T200627Z/KEV_outputs/X_prediction_results.csv
RANF/FN.RANF..BHN__20250112T200531Z__20250112T200631Z.mseed,FN,RANF,0,0,0,0,2025-01-12 20:05:35.140000,0.217,,,2025-01-12 20:05:31.000000,2025-01-12 20:06:31.000000,eqcct_explosions_th0_1/20250112T200531Z_20250112T200631Z/RANF_outputs/X_prediction_results.csv
